"Refs","Value","Footprint","Qty","DNP"
"C1,C2","33p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","2",""
"C3-C5","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","3",""
"C6","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C7","10u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","1",""
"C8","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1",""
"D1","green","LED_THT:LED_D3.0mm","1",""
"D2","yellow","LED_THT:LED_D3.0mm","1",""
"J1,J2","Micro-Fit 43045-0400","Connector_Molex:Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal","2",""
"J3","ICSP","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"JP1","DBG","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"JP2","MCLR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1,R2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R3,R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2",""
"R6","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"U1","PIC18F25K80","Package_DIP:DIP-28_W7.62mm_Socket","1",""
"U2","MCP2562-E/P","Package_DIP:DIP-8_W7.62mm_Socket","1",""
"Y1","16MHz","Crystal:Crystal_HC49-U_Vertical","1",""
