Ref,Val,Package,PosX,PosY,Rot,Side
"C7","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",82.320000,-66.810000,-90.000000,bottom
"C1","33p","C_Disc_D5.0mm_W2.5mm_P5.00mm",83.000000,-60.300000,90.000000,top
"C2","33p","C_Disc_D5.0mm_W2.5mm_P5.00mm",67.500000,-60.300000,90.000000,top
"C3","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",70.000000,-73.800000,0.000000,top
"C4","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",80.200000,-78.000000,180.000000,top
"C5","100n","C_Disc_D5.0mm_W2.5mm_P5.00mm",82.000000,-88.000000,0.000000,top
"C6","10u","CP_Radial_D5.0mm_P2.00mm",52.150000,-81.000000,0.000000,top
"C8","100n","C_Disc_D5.0mm_W2.5mm_P2.50mm",95.420000,-59.800000,90.000000,top
"D1","green","LED_D3.0mm",51.700000,-64.500000,0.000000,top
"D2","yellow","LED_D3.0mm",51.700000,-74.500000,0.000000,top
"J1","Micro-Fit 43045-0400","Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal",64.900000,-85.200000,180.000000,top
"J2","Micro-Fit 43045-0400","Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal",76.600000,-85.200000,180.000000,top
"J3","ICSP","PinHeader_1x05_P2.54mm_Vertical",61.000000,-78.500000,90.000000,top
"JP1","DBG","PinHeader_1x02_P2.54mm_Vertical",60.000000,-53.000000,90.000000,top
"JP2","MCLR","PinHeader_1x02_P2.54mm_Vertical",98.620000,-65.400000,0.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",89.020000,-59.800000,0.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",66.000000,-52.600000,0.000000,top
"R3","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",51.900000,-59.500000,0.000000,top
"R4","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",51.900000,-69.500000,0.000000,top
"R6","470R","R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",99.020000,-61.400000,90.000000,top
"U1","PIC18F25K80","DIP-28_W7.62mm_Socket",95.020000,-63.000000,-90.000000,top
"U2","MCP2562-E/P","DIP-8_W7.62mm_Socket",90.600000,-76.000000,-90.000000,top
"Y1","16MHz","Crystal_HC49-U_Vertical",77.500000,-58.500000,180.000000,top
